escenario,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,latencia_total_s,latencia_ms_por_reg,n_registros,recall_+90,f1_+90,auc_weighted,familia,nivel,seed,degradacion_f1_macro_pct
missing_dirigido_gestion,0.5043191056910569,0.47852519517687386,0.49023580473094946,0.4940234246398271,0.5641051631443165,0.47852519517687386,0.0068088999250903726,0.0017299034362526352,3936,0.5357417371252883,0.5091307523739956,0.7335901241527693,missing_dirigido,1.0,103,13.993750519015446
missing_dirigido_gestion,0.5043191056910569,0.47852519517687386,0.49023580473094946,0.4940234246398271,0.5641051631443165,0.47852519517687386,0.006759400013834238,0.001717327239287154,3936,0.5357417371252883,0.5091307523739956,0.7335901241527693,missing_dirigido,1.0,104,13.993750519015446
missing_dirigido_gestion,0.5043191056910569,0.47852519517687386,0.49023580473094946,0.4940234246398271,0.5641051631443165,0.47852519517687386,0.0061570999678224325,0.0015643038536134227,3936,0.5357417371252883,0.5091307523739956,0.7335901241527693,missing_dirigido,1.0,105,13.993750519015446
missing_dirigido_gestion,0.5043191056910569,0.47852519517687386,0.49023580473094946,0.4940234246398271,0.5641051631443165,0.47852519517687386,0.007187100010924041,0.0018259908564339537,3936,0.5357417371252883,0.5091307523739956,0.7335901241527693,missing_dirigido,1.0,106,13.993750519015446
missing_dirigido_gestion,0.5043191056910569,0.47852519517687386,0.49023580473094946,0.4940234246398271,0.5641051631443165,0.47852519517687386,0.006211100029759109,0.0015780233815444892,3936,0.5357417371252883,0.5091307523739956,0.7335901241527693,missing_dirigido,1.0,107,13.993750519015446
missing_dirigido_gestion,0.5043191056910569,0.47852519517687386,0.49023580473094946,0.4940234246398271,0.5641051631443165,0.47852519517687386,0.006196900038048625,0.0015744156600733296,3936,0.5357417371252883,0.5091307523739956,0.7335901241527693,missing_dirigido,1.0,108,13.993750519015446
missing_dirigido_gestion,0.5043191056910569,0.47852519517687386,0.49023580473094946,0.4940234246398271,0.5641051631443165,0.47852519517687386,0.008082499960437417,0.002053480681005441,3936,0.5357417371252883,0.5091307523739956,0.7335901241527693,missing_dirigido,1.0,109,13.993750519015446
missing_dirigido_gestion,0.5043191056910569,0.47852519517687386,0.49023580473094946,0.4940234246398271,0.5641051631443165,0.47852519517687386,0.006938199978321791,0.0017627540595329754,3936,0.5357417371252883,0.5091307523739956,0.7335901241527693,missing_dirigido,1.0,110,13.993750519015446
missing_dirigido_promesas,0.5594512195121951,0.5966338613511459,0.5624744982186748,0.5537307824431424,0.5588847487448985,0.5966338613511459,0.006302100024186075,0.0016011432988277628,3936,0.531129900076864,0.6090788893785809,0.80011406874502,missing_dirigido,1.0,101,1.3203002440085492
missing_dirigido_promesas,0.5594512195121951,0.5966338613511459,0.5624744982186748,0.5537307824431424,0.5588847487448985,0.5966338613511459,0.006390900001861155,0.0016237042687655375,3936,0.531129900076864,0.6090788893785809,0.80011406874502,missing_dirigido,1.0,102,1.3203002440085492
missing_dirigido_promesas,0.5594512195121951,0.5966338613511459,0.5624744982186748,0.5537307824431424,0.5588847487448985,0.5966338613511459,0.006352800060994923,0.00161402440574058,3936,0.531129900076864,0.6090788893785809,0.80011406874502,missing_dirigido,1.0,103,1.3203002440085492
missing_dirigido_promesas,0.5594512195121951,0.5966338613511459,0.5624744982186748,0.5537307824431424,0.5588847487448985,0.5966338613511459,0.008154800045304,0.002071849605006098,3936,0.531129900076864,0.6090788893785809,0.80011406874502,missing_dirigido,1.0,104,1.3203002440085492
missing_dirigido_promesas,0.5594512195121951,0.5966338613511459,0.5624744982186748,0.5537307824431424,0.5588847487448985,0.5966338613511459,0.00678569998126477,0.0017240091415814966,3936,0.531129900076864,0.6090788893785809,0.80011406874502,missing_dirigido,1.0,105,1.3203002440085492
missing_dirigido_promesas,0.5594512195121951,0.5966338613511459,0.5624744982186748,0.5537307824431424,0.5588847487448985,0.5966338613511459,0.006307200063019991,0.0016024390404014205,3936,0.531129900076864,0.6090788893785809,0.80011406874502,missing_dirigido,1.0,106,1.3203002440085492
missing_dirigido_promesas,0.5594512195121951,0.5966338613511459,0.5624744982186748,0.5537307824431424,0.5588847487448985,0.5966338613511459,0.0064746999414637685,0.001644994903827177,3936,0.531129900076864,0.6090788893785809,0.80011406874502,missing_dirigido,1.0,107,1.3203002440085492
missing_dirigido_promesas,0.5594512195121951,0.5966338613511459,0.5624744982186748,0.5537307824431424,0.5588847487448985,0.5966338613511459,0.006810000049881637,0.0017301829395024485,3936,0.531129900076864,0.6090788893785809,0.80011406874502,missing_dirigido,1.0,108,1.3203002440085492
missing_dirigido_promesas,0.5594512195121951,0.5966338613511459,0.5624744982186748,0.5537307824431424,0.5588847487448985,0.5966338613511459,0.006272400030866265,0.0015935975688176488,3936,0.531129900076864,0.6090788893785809,0.80011406874502,missing_dirigido,1.0,109,1.3203002440085492
missing_dirigido_promesas,0.5594512195121951,0.5966338613511459,0.5624744982186748,0.5537307824431424,0.5588847487448985,0.5966338613511459,0.006464499980211258,0.0016424034502569255,3936,0.531129900076864,0.6090788893785809,0.80011406874502,missing_dirigido,1.0,110,1.3203002440085492
missing_dirigido_historial,0.5533536585365854,0.578623420093807,0.5550631215317612,0.5479816787749436,0.5497409223732127,0.578623420093807,0.006469600019045174,0.0016436991918305829,3936,0.6079938508839354,0.6292760540970564,0.801366562258227,missing_dirigido,1.0,101,2.6205412834856125
missing_dirigido_historial,0.5533536585365854,0.578623420093807,0.5550631215317612,0.5479816787749436,0.5497409223732127,0.578623420093807,0.00657389999832958,0.0016701981703073118,3936,0.6079938508839354,0.6292760540970564,0.801366562258227,missing_dirigido,1.0,102,2.6205412834856125
missing_dirigido_historial,0.5533536585365854,0.578623420093807,0.5550631215317612,0.5479816787749436,0.5497409223732127,0.578623420093807,0.006207600003108382,0.0015771341471311946,3936,0.6079938508839354,0.6292760540970564,0.801366562258227,missing_dirigido,1.0,103,2.6205412834856125
missing_dirigido_historial,0.5533536585365854,0.578623420093807,0.5550631215317612,0.5479816787749436,0.5497409223732127,0.578623420093807,0.006418400094844401,0.0016306910810072158,3936,0.6079938508839354,0.6292760540970564,0.801366562258227,missing_dirigido,1.0,104,2.6205412834856125
missing_dirigido_historial,0.5533536585365854,0.578623420093807,0.5550631215317612,0.5479816787749436,0.5497409223732127,0.578623420093807,0.006763999932445586,0.0017184959177961347,3936,0.6079938508839354,0.6292760540970564,0.801366562258227,missing_dirigido,1.0,105,2.6205412834856125
missing_dirigido_historial,0.5533536585365854,0.578623420093807,0.5550631215317612,0.5479816787749436,0.5497409223732127,0.578623420093807,0.006262999959290028,0.0015912093392505152,3936,0.6079938508839354,0.6292760540970564,0.801366562258227,missing_dirigido,1.0,106,2.6205412834856125
missing_dirigido_historial,0.5533536585365854,0.578623420093807,0.5550631215317612,0.5479816787749436,0.5497409223732127,0.578623420093807,0.006403999985195696,0.0016270325165639473,3936,0.6079938508839354,0.6292760540970564,0.801366562258227,missing_dirigido,1.0,107,2.6205412834856125
missing_dirigido_historial,0.5533536585365854,0.578623420093807,0.5550631215317612,0.5479816787749436,0.5497409223732127,0.578623420093807,0.006354600074701011,0.0016144817262959887,3936,0.6079938508839354,0.6292760540970564,0.801366562258227,missing_dirigido,1.0,108,2.6205412834856125
missing_dirigido_historial,0.5533536585365854,0.578623420093807,0.5550631215317612,0.5479816787749436,0.5497409223732127,0.578623420093807,0.0065500999335199594,0.0016641514058739733,3936,0.6079938508839354,0.6292760540970564,0.801366562258227,missing_dirigido,1.0,109,2.6205412834856125
missing_dirigido_historial,0.5533536585365854,0.578623420093807,0.5550631215317612,0.5479816787749436,0.5497409223732127,0.578623420093807,0.006650199997238815,0.0016895833326318126,3936,0.6079938508839354,0.6292760540970564,0.801366562258227,missing_dirigido,1.0,110,2.6205412834856125
outlier_monto_3x_5pct,0.5658028455284553,0.5999171502491523,0.5692263605781711,0.5595632850659233,0.5623383503180004,0.5999171502491523,0.006856000050902367,0.001741869931631699,3936,0.5734050730207533,0.6255765199161426,0.8127883971050186,outlier_monto,0.05,101,0.1357634293815359
outlier_monto_3x_5pct,0.5668191056910569,0.6009790563251829,0.5700172914854907,0.560351708998965,0.562894542311988,0.6009790563251829,0.007107999990694225,0.0018058943065788172,3936,0.5764796310530361,0.6284038542103059,0.8128335113620416,outlier_monto,0.05,102,-0.0029963272104720344
outlier_monto_3x_5pct,0.5660569105691057,0.5997720881185646,0.5689219981679814,0.5595971770956433,0.5619249866623907,0.5997720881185646,0.005977799999527633,0.0015187499998799883,3936,0.5787855495772483,0.6293355620559966,0.8119402083047864,outlier_monto,0.05,103,0.18916032355122453
outlier_monto_3x_5pct,0.5650406504065041,0.5989442298677494,0.5682054508877975,0.558565476742367,0.5608986849154824,0.5989442298677494,0.006140999961644411,0.001560213404889332,3936,0.574173712528824,0.625366262034324,0.8126046318323166,outlier_monto,0.05,104,0.3148703258596825
